Feature,Importance
TEMP_DIFF,0.28778121860994654
MODULE_TEMPERATURE,0.2720599638843343
HOUR_SIN,0.10393429337185178
AIR_TEMPERATURE,0.07526473918239107
DNI,0.06548976707811838
WIND_SPEED,0.05772590073203965
GHI,0.03983647157190544
DHI,0.03771329050698891
SOLAR_ZENITH_ANGLE,0.03077721319196958
HOUR_COS,0.02941714187045421
